Date,Stars,Sentiment_rating,Text
2-14W,4-stars or above,Advertising,"If you still give us a lot of ads, let them be extended, that is, let's look at the Green Horses on the walls"
2-14W,4-stars or above,Positive,"Great casino so far, nice machines"
2-14W,4-stars or above,Positive,you are ksk
2-14W,4-stars or above,Positive,Fun games
2-14W,4-stars or above,Positive,Very good
2-14W,4-stars or above,Positive,Fun
2-14W,4-stars or above,Positive,A lot of Fun!
2-14W,4-stars or above,Positive,Enjoy this game
2-14W,4-stars or above,Positive,"The same is true, not only is it good
"
2-14W,4-stars or above,Positive,Great game
2-14W,4-stars or above,Positive,"Good
"
2-14W,3-stars or below,Positive,"Why send feedback??? if you don't do anything about it??? Enough of this game, tired"
2-14W,3-stars or below,Positive,"Jackpot fell for 7 billion, as a result, it was not accrued, so such an assessment"
2-07W,3-stars or below,Advertising,"Don't install it, there's a lot of advertising"
2-07W,3-stars or below,Positive,"Disaster, just fooling around, game absolutely useless."
2-07W,3-stars or below,Positive,Not very good
2-07W,3-stars or below,Numerical,"If you want money to throw away, then this is for you!!!"
2-07W,3-stars or below,Technician Issues,Bad bad bad Freezes up my phone everytime uninstalled..
2-07W,3-stars or below,Positive,"this app does not work on my laptop, it is uselss. I don't need it on my phone"
2-07W,3-stars or below,Positive,It's not worth that much
2-07W,3-stars or below,Numerical,"Why bother putting this game on Google play , It stop's on wins and is slower than a turtle, It kick's you completely out of the game."
2-07W,3-stars or below,Numerical,Just like all the rest. Good for the 1st day. Then its a steady drain to ZERO. Uninstalled.
2-07W,3-stars or below,Numerical,"Are you a damn person, you didn't give a hand until you gave 4 billion VIRTUAL points, how can we load it, if the world's treasure is not enough for you"
2-07W,3-stars or below,Numerical,Like with so many other slots apps ran out of coins very quickly...
2-07W,3-stars or below,Positive,Sucks
2-07W,3-stars or below,Numerical,Cheats you out of coins . It will give you coins but not all of the large amounts are given . Watch your coin amount at the top.
2-07W,3-stars or below,Numerical,"If you have money to throw away, then this game is for you!!! Expensive with little payouts"
2-07W,3-stars or below,Numerical,"Love the games on this one, but it's not uncommon to spin 40+ times and not win anything. That seems excessive to me. Going from $900M to $200 in an hour, using $2000 spins....insane.

"
2-07W,3-stars or below,Positive,Scrambled screen
2-07W,4-stars or above,Positive,good
2-07W,4-stars or above,Positive,Great
2-07W,4-stars or above,Positive,"Fun. Engaging missions. Just a fun game
"
2-07W,4-stars or above,Positive,"Winning!
"
2-07W,4-stars or above,Positive,Slot of fun
2-07W,4-stars or above,Numerical,"Even if you have a bad streak, there are always enough extra features for a comeback. Very good balance."
2-07W,4-stars or above,Positive,Great to play and takes up ur time when u want something like a game to do..
2-07W,4-stars or above,Numerical,"I just started playing, but I've won soooo much!"
2-07W,4-stars or above,Positive,Great games So Addicting
2-07W,4-stars or above,Positive,Very fun.... Loose slots
2-07W,4-stars or above,Positive,So much fun!!
2-07W,4-stars or above,Positive,Variety of games good bonuses
2-07W,4-stars or above,Positive,good fun
2-07W,4-stars or above,Positive,I will say to everyone i meet this is a fun casino
2-07W,4-stars or above,Positive,It was ok
2-07W,4-stars or above,Positive,Great!8[iip9
2-07W,4-stars or above,Positive,Exhilarating
2-07W,4-stars or above,Positive,Fun
2-07W,4-stars or above,Positive,good game having fun 02/09/22
2-07W,4-stars or above,Positive,"Best game of its genre so far, a nd I have played several."
2-07W,4-stars or above,Positive,Great
2-07W,4-stars or above,Positive,Beginner
2-07W,4-stars or above,Positive,I love this game
2-07W,4-stars or above,Graphic,Solid game love the graphics good payouts
2-07W,4-stars or above,Positive,Fun
2-07W,4-stars or above,,Good need more coins or bonuses
2-07W,4-stars or above,Positive,Top
2-07W,4-stars or above,Positive,Great fun always
2-07W,4-stars or above,Positive,I love this game
2-07W,4-stars or above,Positive,Fantastic
2-07W,4-stars or above,Positive,Fun games
2-07W,4-stars or above,Positive,Okay
2-07W,4-stars or above,Numerical,easy to win bonus. Dont focus on one gmae. Great time killer
2-07W,4-stars or above,Positive,One of the best A big selection and you actually win. You can do quests or not. Most important not a ton of ads!
2-07W,4-stars or above,Positive,Could be better with graphics but Im satisfied
2-07W,4-stars or above,Positive,Good game slots same to be very lose lots of wins.
2-07W,4-stars or above,Positive,Lots of fun
2-07W,4-stars or above,Positive,Getting going will let you know more later.
2-07W,4-stars or above,Positive,I love playing this game
2-07W,4-stars or above,Positive,Carroll kanston AWESOME
2-07W,4-stars or above,Positive,Really fun to play
2-07W,4-stars or above,Positive,A lot of different games to play
2-07W,4-stars or above,Numerical,Great game so far wonderful payouts
1-31W,3-stars or below,Technician Issues,Sucks do not download
1-31W,3-stars or below,Advertising,Too many ads
1-31W,4-stars or above,Positive,Fun game
1-31W,4-stars or above,Positive,Godd
1-31W,4-stars or above,Positive,Great casino fun games. NOW SHOW ME THE MONEY HONEY
1-31W,4-stars or above,Positive,Cool
1-31W,4-stars or above,Positive,I only been playing for a couple weeks I like it.
1-31W,4-stars or above,Positive,Very excellent games friends I congratulate you in advance.
1-31W,4-stars or above,Positive,Fun!
1-31W,4-stars or above,Positive,Love
1-31W,4-stars or above,Positive,Among the best on the net
1-31W,4-stars or above,Positive,Slot
1-31W,4-stars or above,Positive,Fun
1-31W,4-stars or above,Positive,Good games.
1-31W,4-stars or above,Positive,Awsome
1-31W,4-stars or above,Positive,So far so good
1-31W,4-stars or above,Graphic,I love the graphics and the bonus games are fun too. Plenty of slot machines to choose from.
1-31W,4-stars or above,Positive,"Very good game, I hope it will get better and better, more and more gameplay and types, (interesting game)"
1-31W,4-stars or above,Positive,Fun!!
1-31W,4-stars or above,Positive,I like the game
1-31W,4-stars or above,Positive,Just epic
1-31W,4-stars or above,Positive,Just havin fun playin slots
1-31W,4-stars or above,Numerical,Good wins
1-31W,4-stars or above,Graphic,Graphics are the best I have seen in a long time
1-31W,4-stars or above,Positive,Excellent
1-31W,4-stars or above,Positive,It's cool
1-31W,4-stars or above,Positive,Cool game
1-31W,4-stars or above,Positive,It's fun
1-31W,4-stars or above,Positive,Love it fun game just like the real games you play at the casino
1-31W,4-stars or above,Positive,Good games
1-31W,4-stars or above,Positive,So far so good
1-31W,4-stars or above,Positive,Great game
1-31W,4-stars or above,Positive,Great game
1-31W,4-stars or above,Positive,So far it has been enjoyable
1-31W,4-stars or above,Positive,Fun
1-31W,4-stars or above,Positive,It's a fun game
1-31W,4-stars or above,Positive,Lots of fun
1-31W,4-stars or above,Positive,Pretty good
1-31W,4-stars or above,Positive,Like
1-31W,4-stars or above,Positive,best game out there
1-31W,4-stars or above,Positive,"I absolutely love this app I'm doing very good, it hasn't dropped one time or put me to watch adds Everytime I hit cash like some others do best slot game to date that I've played thanks Hopping cash Casino Slots!!!"
1-31W,4-stars or above,Positive,I like it it don't have that many commercials so when you spend every time you don't have a commercial I like that
1-31W,4-stars or above,Positive,Fun
1-31W,4-stars or above,Positive,Wow just can't stop playing
1-31W,4-stars or above,Positive,I love this game
1-31W,4-stars or above,Positive,Very good
1-31W,4-stars or above,Positive,Great game!!
1-31W,4-stars or above,Positive,Interesting!!!
1-31W,4-stars or above,Positive,OK
1-31W,4-stars or above,Positive,Great and varied game
1-31W,4-stars or above,Positive,Fun games
1-31W,4-stars or above,Positive,fun!!!
1-31W,4-stars or above,Positive,Awesome game!!
1-31W,4-stars or above,Positive,Very fun games.
1-31W,4-stars or above,Graphic,ABSOLUTELY BEAUTIFUL GRAPHICS AND I ABSOLUTELY LOVE PLAYING THIS CASINO :-)
1-31W,4-stars or above,Positive,Koolio
1-31W,4-stars or above,Numerical,This is the only slot game that everyone should try because it's really fun with great wins.
1-31W,3-stars or below,Numerical,"Good Graphics, laim payouts, small winnings. And just a few games. Time waste. Uninstall. Not recommend."
1-31W,3-stars or below,General Questions,How do you sell chips?
1-31W,3-stars or below,,P.O.S. Its a fraud! If you actually want to get some cash the only app i have found is Justplay they actual paid me around 50bucks but the longer you have it the less they pay. But still vetter then this joke I wanted the 7 days andnnow it says there to many qurrants for my payment and I am 9987 in line..... As if. What a lie don't download it.
1-31W,3-stars or below,Numerical,Got to play maybe an hour before payouts got changed and ended up with nothin. All of a sudden my free spins and bonuses disappeared. Huh. Uninstalled
1-31W,3-stars or below,Technician Issues,"It keeps closing out and sending me to my homescreen to where I have to reboot it if you can fix that problem it would be a great game

"
1-31W,3-stars or below,Positive,"Play first. If it's good, I will give more stars."
1-31W,3-stars or below,Positive,I didn't like it but you may?!
1-31W,3-stars or below,Numerical,Terrible game. Absolutely do not ever bet over 20K. I just went over 800 spins without a bonus or free spins. Don't give me any bs saying it's all random. You have these set to pay out for awhile to get you hooked then stop paying and stop giving out free spins and bonuses. I'm uninstalling this garbage.
1-31W,3-stars or below,Positive,February 1st 2022 I'm going into the game then ill come back give my results before I public anything
1-31W,3-stars or below,Positive,Terrible slots
1-31W,3-stars or below,Positive,not a good casino
1-31W,3-stars or below,,"This game is fun, but it always closes and goes to home screen. No one is going to purchase anything that doesn't function properly!"
1-31W,3-stars or below,Technician Issues,"When the application crashes every few minutes, time to uninstall"
1-31W,3-stars or below,Positive,Pathetic
1-31W,3-stars or below,Technician Issues,"Fun game but it's bugged, when I click to check what challenge I'm doing next the whole game starts glitching and not responding."
1-31W,3-stars or below,Positive,YOU SUCK.
1-31W,3-stars or below,Technician Issues,I don't want to run. How long I have to wait
1-24W,3-stars or below,Technician Issues,Can't even in joy the game cuz you can't get it to download. It takes to long so sad
1-24W,3-stars or below,Advertising,"TONS of ads to watch... One every two spins! ZERO PAY!!! Regardless of how long you play this game, you won't be paid for your time and play! Delete this app if you have it and don't waste any more of your time!"
1-24W,3-stars or below,Technician Issues,Constant crashing ! No fun bere !
1-24W,3-stars or below,Positive,I don't really like this game I uninstall
1-24W,3-stars or below,Numerical,Did not pay out
1-24W,3-stars or below,Technician Issues,Wont let me load any games Goodbye
1-24W,3-stars or below,Technician Issues,"I enjoy the game, but it continues to drop off an I have to reload. This has happe ed at least 12 times within 4 hours."
1-24W,3-stars or below,Technician Issues,"I really want to play this game, but, I was can only get 2 or 3 spins in before the game shuts down. Reloaded 3 times so far. I'm going to give it 1 more try. I hope it works."
1-24W,3-stars or below,Positive,"Another hyped up game, but all lies."
1-24W,3-stars or below,Numerical,Have gained a lot at the beginning then after it is necessary to pack.
1-24W,3-stars or below,Technician Issues,"Lots of potential but very low payouts when you increase your bets and every game we played FROZE UP, maybe they'll fix all their issues and make it so one enjoy it. I Uninstalled it, too many issues and bottom of the barrel payouts"
1-24W,3-stars or below,Positive,Sucked
1-24W,3-stars or below,Numerical,They need to remame this game to Losin Cash Casino. No wins here. Move along folks.... Move along. Don't waste your time or money on these loser greedy no win games.
1-24W,3-stars or below,Technician Issues,"It won't load, too slow takes up too much data."
1-24W,3-stars or below,Positive,First things first. The game does have great graphics and everything else but the downside to it is when you win money and there's a glitch. They'll say we're sorry for the glitch here's some coins for your trouble but it doesn't equal up to the coins that you actually won. This game would have got a lot higher score if they would have just fixed it the right way.
1-24W,3-stars or below,Technician Issues,Does not give your points. Crash all the time.
1-24W,4-stars or above,Positive,go
1-24W,4-stars or above,Positive,Great Game!
1-24W,4-stars or above,Positive,Ok
1-24W,4-stars or above,Positive,Job
1-24W,4-stars or above,Positive,Ok
1-24W,4-stars or above,Positive,Feedback
1-24W,4-stars or above,Positive,Fun
1-24W,4-stars or above,Positive,Awesome!!
1-24W,4-stars or above,Positive,Great games
1-24W,4-stars or above,Positive,Fun games keeps you entertained
1-24W,4-stars or above,Positive,Great game
1-24W,4-stars or above,Positive,"So far so good!
"
1-24W,4-stars or above,Graphic,Good funny graphic only that it takes money a little fast
1-24W,4-stars or above,Positive,Ok
1-24W,4-stars or above,Positive,Good Game
1-24W,4-stars or above,Positive,Very fun games.
1-24W,4-stars or above,Positive,So far it's really fun and cute.
1-24W,4-stars or above,Technician Issues,My game keeps shutting down an going back to home screen
1-24W,4-stars or above,Positive,Excellent
1-24W,4-stars or above,Numerical,Really have fun for hours on this game and has great payouts
1-24W,4-stars or above,Numerical,Great payouts
1-24W,4-stars or above,Positive,Lots of fun.
1-24W,4-stars or above,Positive,Awesome
1-24W,4-stars or above,Positive,Fun
1-24W,4-stars or above,Graphic,"Fun fun fun!!! Easy to play and great graphics nice winnings also hopefully next time I play though it's real money.
"
1-24W,4-stars or above,Positive,Nice
1-24W,4-stars or above,Positive,It's good
1-24W,4-stars or above,Positive,This is a magnificent casino game to play!
1-24W,4-stars or above,Positive,Wonder I can't put it down sometime
1-24W,4-stars or above,Positive,"Enjoyed for relaxation. Was not keen on interruption of game though relative to watching ads for points. Redundant at best!
"
1-24W,4-stars or above,Positive,Fun
1-24W,4-stars or above,Positive,good game
1-24W,4-stars or above,Positive,Great fun
1-24W,4-stars or above,Positive,Seems to be a good game
1-24W,4-stars or above,Positive,Good game
1-24W,4-stars or above,Positive,Great
1-24W,4-stars or above,Positive,Fun
1-24W,4-stars or above,Positive,Great game
1-24W,4-stars or above,Positive,"At last, i really found d most exciting & rewarding slot games in Hoppin'n Cash Casino. The winning payout is genuine realistic unlike any other slot games that allowed u to win at 1st attempt but within d next few games, all d winnings will definitely just become ZERO. HCC is really fantastic & relaxing slot game. "
1-24W,4-stars or above,Positive,I like the way the games I put together
1-24W,4-stars or above,Positive,Super game
1-24W,4-stars or above,Positive,Great game
1-24W,4-stars or above,Positive,Awesome thanks
1-24W,4-stars or above,Graphic,Oh my goodness this game and graphics are awesome I love it!!!
1-24W,4-stars or above,Positive,High good
1-24W,4-stars or above,Positive,Good game so far
1-24W,4-stars or above,Positive,Fun
1-24W,4-stars or above,Positive,Awesome game!!
1-24W,4-stars or above,Positive,Good game
1-24W,4-stars or above,Positive,I love it
1-24W,4-stars or above,Numerical,First time I have played these games. I love all of them so far. Payouts are very good.
1-17W,3-stars or below,Numerical,Poor bonus hits
1-17W,3-stars or below,Numerical,ALWAYS OUT OF MONEY AND NEVER WINS ANYTHING CUZ I WONT PAY MONEY!
1-17W,4-stars or above,Graphic,It's got Great graphics okay pays pays
1-17W,4-stars or above,Positive,Great game join in and have some fun.
1-17W,4-stars or above,Positive,"Just Started , But Good So Far"
1-17W,4-stars or above,Technician Issues,It's fun. Only problem mine tends to shut off during the game. Knocks me off
1-17W,4-stars or above,Positive,Excellent game
1-17W,4-stars or above,Positive,This is nonstop fun! No ads!!! I got up 9 billion on 4 games. I got it for no money!
1-17W,4-stars or above,Positive,Fun game
1-17W,4-stars or above,Positive,"You ask me rate right as the game loaded so I gave you 5 stars and then canceled it and went back to the game so I could freshly judge it. Well the results are in and it is indeed 5 stars.. I am on level 73 so I must be enjoying it or believe me it would be gone. I don't play thinking of rating so all I can say it's fun, the different games are fun and a nice variety, sound is good payouts are really what you make them as far as how much you bet and how long you keep playing at a time:)"
1-17W,4-stars or above,Positive,Fun
1-17W,4-stars or above,Positive,Fun
1-17W,4-stars or above,Positive,You will be a happy that I have so happy plying the game.
1-17W,4-stars or above,Positive,So far so good..some ads but since I'm retired and not going anywhere I can deal with them
1-17W,4-stars or above,Positive,Love.
1-17W,4-stars or above,Positive,Fun
1-17W,4-stars or above,Positive,Awesome Features
1-17W,4-stars or above,Positive,Ok game.
1-17W,4-stars or above,Positive,Love this game.
1-17W,4-stars or above,Numerical,It's lot's of fun! Great winnings!
1-17W,4-stars or above,Positive,Great games
1-17W,4-stars or above,Positive,Great game
1-17W,4-stars or above,Positive,Not too many frills just great action!! Love it!!!!
1-17W,4-stars or above,Positive,Fantastic
1-17W,4-stars or above,Positive,Love it
1-17W,4-stars or above,Positive,Fun
1-17W,4-stars or above,Positive,Giod slot game
1-17W,4-stars or above,Positive,Love it
1-17W,4-stars or above,Positive,Awesome !
1-17W,4-stars or above,Positive,"This is an awesome game so far. can't complain about anything yet I'll tell my friends to play
"
1-17W,4-stars or above,Positive,Good
1-17W,4-stars or above,Graphic,Lots of fun and great graphics!
1-17W,4-stars or above,Positive,Great time playing.
1-17W,4-stars or above,Positive,It's good
1-17W,4-stars or above,Positive,Awesome
1-17W,4-stars or above,Numerical,"Not a bad game, I don't bet a lot but still win. Thx"
1-17W,4-stars or above,,Doing good. Just thinking that the daily would be higher
1-17W,4-stars or above,Positive,Nice gives alot of coins
1-17W,4-stars or above,Positive,Three thumbs up
1-17W,4-stars or above,Positive,Another one of my favorite games..thanks for this one too
1-17W,4-stars or above,Positive,Great game
1-17W,4-stars or above,Positive,It a good game
1-17W,4-stars or above,Positive,Fun play
1-17W,4-stars or above,Positive,Good
1-17W,4-stars or above,Positive,Excellent
1-17W,3-stars or below,Numerical,Fun game could use more big wins
1-17W,3-stars or below,Numerical,"It has a lot of potential to be a good game, but we all know that if you don't bet big, you don't win big, and that's no fun. They make sure that you start losing after you bet big. I had plenty of chips until I started betting bigger. Then I started losing. Not keeping an app where I lose, so good luck"
1-17W,3-stars or below,Numerical,"Same old, same old. No bonuses or features in the last 4 games played. The developers of these games just don't get it."
1-17W,3-stars or below,Positive,What a misery of bonuses this game gives. take bonds they tell him
1-17W,3-stars or below,Positive,It's alright. Just another slots game app.
1-17W,3-stars or below,Technician Issues,"I was playing the best and suddenly I couldn't enter anymore, besides everything is in English"
1-17W,3-stars or below,Technician Issues,I can't get it started
1-17W,3-stars or below,Technician Issues,This is one of the worst games I've played. Every time i log in i get to play maybe 3 minutes before it kicks me out of the game. So im deleting this game. Very disappointed
1-17W,3-stars or below,Numerical,Start out winning then nothing... UNINSTALLED
1-17W,3-stars or below,Technician Issues,Bad takes my winnings I won 35 free games an lots of coines it takes from me shuts the game off it is ripping me off do something about this game!!!!
1-17W,3-stars or below,General Questions,Don't purchase anything cuz you won't get your credits and they won't respond when you email them.
1-17W,3-stars or below,Positive,Not free
1-17W,3-stars or below,Technician Issues,The game you hit big jackpots but the game keeps crashing I'm in the middle of free games and it just goes back to my home screen and I loos everything don't download it pleas fix I'm unstalling it
1-10W,3-stars or below,General Questions,"Fun so far but no cash yet
"
1-10W,3-stars or below,General Questions,"How can I play, I can get real money, I received it.. I gave it 1 star. Previously, if it was profitable for me, I would give it another 4 star."
1-10W,3-stars or below,Advertising,"Lots of ads, very annoying. Can't even win a contest because ads pop up during game play. Also very annoying. Don't always receive messenger bonus and support claims it's my internet connection I live half a block away from a cell phone tower. Still no solution, excuses, excuses, and oh yeah excuses. Not very good at solving problems, but great at taking your money Still haven't won a ""Grand Jackpot"" either. I've had other apps less time, and won more. Maybe other apps aren't so bad."
1-10W,3-stars or below,Numerical,Money goes way to fast. You dont get big wins and if you do theybtake back within a few spins
1-10W,3-stars or below,Numerical,"At first the game was fun, but after not being able to get anywhere. I've been stuck in this bubble. 70.000 to around 140.000. I'm so bored that now I'm trying to get rid of my money. The same thing still happens. You keep is in, just enough to keep us playing. Either take my money, or let me win, some sizable amount. I'm out after I'm I lose the rest of my money."
1-10W,3-stars or below,Numerical,"It was fun when first start, after about 2 days none of the slots hits. To many ads want you to spend money, the prices are to high. I can buy one trillions coins for a lot less than paying $49.99 for a million. I want enjoying coins."
1-10W,3-stars or below,Technician Issues,Kept kicking out.
1-10W,3-stars or below,Technician Issues,"Game has nice graphics, constantly pop up reconnect while your in bonus and winning !!! I won't support a game that annoys the player and takes the enjoyment out of playing"
1-10W,3-stars or below,Technician Issues,Noob game dont waste your tym for this still loading tsssk
1-10W,3-stars or below,Technician Issues,"Fun game. Great win rate, lots of big wins, but, the app literally won't open, or, crashes consistently when I attempt to play."
1-10W,3-stars or below,Technician Issues,Would not download and my connection works fine
1-10W,4-stars or above,Positive,Awsome game
1-10W,4-stars or above,Positive,Love it
1-10W,4-stars or above,Positive,So addictive and satisfying! Thanks to the developers and keep up the great work!
1-10W,4-stars or above,Positive,"love this game, baby. However I am not big enough to have a phone. the shrunken games piss me off. everytime you do that. I hate it."
1-10W,4-stars or above,Positive,Love it!!!!!!!
1-10W,4-stars or above,Positive,Fun
1-10W,4-stars or above,Positive,Its been good so far. I love the casino like games. Thanks
1-10W,4-stars or above,Positive,It's a super fun and vary addicting!!
1-10W,4-stars or above,Positive,Great game!! Let's you play for a long time.
1-10W,4-stars or above,Positive,Good game
1-10W,4-stars or above,Positive,Fun slots. Entertaining
1-10W,4-stars or above,Numerical,Fun games. Extreme payouts!
1-10W,4-stars or above,Positive,Good
1-10W,4-stars or above,Positive,An awesome game today
1-10W,4-stars or above,Positive,Seems ok so far
1-10W,4-stars or above,Positive,Great game
1-10W,4-stars or above,Positive,Hoppin casinos slot Wow sounds like it's on like donkey Kong that's the kindaast game I played neither seeming less films like I. Enjoying to survey be ause I'm expressing my experience with casino slot with highly intensions of Integrity makes survey much more enjoyable to read always a dark side in every aspects wich applies to implementation elaborate concepts of survey are accordingly; example q... Lppa got carried away
1-10W,4-stars or above,General Questions,"I like the game we'll see if it actually pays it to my cash app for my PayPal that's another story let you know.
"
1-10W,4-stars or above,Positive,Great slots! I'm at a trillion and still hot!
1-10W,4-stars or above,Positive,Fun.
1-10W,4-stars or above,Positive,if this is okay
1-10W,4-stars or above,Numerical,Lets you win alot more than the other games
1-10W,4-stars or above,Positive,Great
1-10W,4-stars or above,Graphic,"Good graphics, very decent earnings, not a lot of ads."
1-10W,4-stars or above,Positive,Addicting
1-10W,4-stars or above,Positive,This is great games. Once I start playing I can't put it down.
1-10W,4-stars or above,Graphic,Constant pay outs and amazing grafics thx
1-10W,4-stars or above,Positive,Love the game.
1-10W,4-stars or above,Positive,Best game to play if you can get it to download
1-10W,4-stars or above,Positive,Love the games
1-10W,4-stars or above,Positive,Lotsa freebeez!
1-10W,4-stars or above,Positive,I have really enjoyed playing your game. Can't wait to get back to it
1-10W,4-stars or above,Positive,Fun to play
1-10W,4-stars or above,Technician Issues,If it wasn't lagging it would be great
1-3W,3-stars or below,Numerical,BUYER BEWARE!! WORST PLACE TO PUT YOUR MONEY!!DO NOT PLAY!! NO GAME SHOULD SPIN 20-30 TIMES WITHOUT HITTING ANYTHING!! If I could give LESS than 1 star I would. The worst play back!! They do NOT respond except for auto response and there is NEVER a solution just an excuse!! The more you play the LESS you get in play back!! HORRIBLE HORRIBLE HORRIBLE!! PURCHASED 3BILLION. RECEIVED IN PLAYBACK 200 MILLION PLAYING 100 MILLION EACH SPIN!!! A HUGE RIPOFF AND THEY DONT CARE!!!
1-3W,3-stars or below,Numerical,"It will only let you win so much money then it hardly let's you win specially when you get higher levels and the ad's are horrible an ad will start playing while you are spinning and if you hit it the ad will take you to the app store I deleted this app all they want you to do is buy coins and watch ad's
"
1-3W,4-stars or above,General Questions,When do u get ur money
1-3W,4-stars or above,Positive,good
1-3W,4-stars or above,Positive,Always fun and happy winners circle
1-3W,4-stars or above,Positive,Really great app
1-3W,4-stars or above,Positive,This the best one so far. Lots of fun.
1-3W,4-stars or above,Positive,So far So good. Will update once I have played longer
1-3W,4-stars or above,Positive,Great game
1-3W,4-stars or above,Numerical,Great games and nice payouts
1-3W,4-stars or above,Positive,Cool Game
1-3W,4-stars or above,Positive,Nice
1-3W,4-stars or above,Positive,Cool slots. Fast too if u like to speed play
1-3W,4-stars or above,Positive,Keeps me entertained. I love it!
1-3W,4-stars or above,Positive,So far great
1-3W,4-stars or above,Graphic,"Very fun graphics, frequent bonuses"
1-3W,4-stars or above,Positive,Enjoy playing
1-3W,4-stars or above,Positive,Good games
1-3W,4-stars or above,Positive,Good funky game
1-3W,4-stars or above,Positive,Simple fun
1-3W,4-stars or above,Positive,Nice
1-3W,4-stars or above,Positive,Love this
1-3W,4-stars or above,Positive,Good game
1-3W,4-stars or above,Positive,Great
1-3W,4-stars or above,Positive,Fun times fun times
1-3W,4-stars or above,Positive,Nice to pass time
1-3W,4-stars or above,Positive,Super
1-3W,4-stars or above,Graphic,Love the graphics
1-3W,4-stars or above,Positive,Good application if it were real I would be a millionaire Q
1-3W,4-stars or above,Positive,good
1-3W,4-stars or above,Positive,Excellent
1-3W,4-stars or above,Positive,my
1-3W,4-stars or above,Positive,I love it
1-3W,4-stars or above,Positive,Love this game!
1-3W,4-stars or above,Positive,Brilliant
1-3W,4-stars or above,Positive,Very fun....best yet
1-3W,4-stars or above,Positive,So far so good!
1-3W,4-stars or above,Positive,I have found fun and winning slots. I recommend these slots to all my friends.
1-3W,4-stars or above,Positive,"Fun,winning!!!"
1-3W,4-stars or above,Graphic,"Great graphics & fun games with nice payouts , let's hope it continues, so many apps start out great & then do nothing but take take take, I really like the games on this app so I really hope it stays true to what it is now !"
1-3W,4-stars or above,Positive,Enjoy
1-3W,4-stars or above,Positive,Good game
1-3W,4-stars or above,Positive,I enjoy playing the game!
1-3W,4-stars or above,Positive,So far so great! Love the games and graphics.
1-3W,4-stars or above,Positive,Great
1-3W,4-stars or above,Positive,Ggg
1-3W,4-stars or above,Positive,Yahoo fun
1-3W,3-stars or below,Positive,Noob Noob noob
1-3W,3-stars or below,Numerical,Dont pay
1-3W,3-stars or below,Technician Issues,Keep freezing
1-3W,3-stars or below,Technician Issues,Runs slow and keep having to initialize
1-3W,3-stars or below,Numerical,I thought it was beautiful and relaxing got up to 300 million in 3 hours our purchased coins and lost all but 79 million in 20 minutes no bonuses and raise bet and I'm pissed don't bother they want money
1-3W,3-stars or below,Numerical,When you bet high you lose everything qas a nice game otherwise
1-3W,3-stars or below,Numerical,You win the first hour of play than you lose than they ask you to buy ...good luck with that .I am gone.
1-3W,3-stars or below,Positive,Beggar
1-3W,3-stars or below,Technician Issues,RIDICULOUS!! CONSTANTLY kicks you off! There's absolutely NOTHING wrong with my connection!! You have all these options to buy things... I'll save my money until you figure out what's wrong on your end! Please fix the problem/glitches!!
1-3W,3-stars or below,Numerical,Boring what's the point of playing if you can't win anything
1-3W,3-stars or below,Technician Issues,Keeps freezing sucks
1-3W,3-stars or below,Numerical,"No jackpots, no wins, no nothing. Reels are rigged. Bonuses don't exist. 2 billion gone in no time. Don't download. You've been warned."
1-3W,3-stars or below,Technician Issues,"Ok 3 stars, too many ads right in the middle of a game, internet sucks and game lost. When logging back in 5 ads right in a row to look at, finishing my coins out and uninstalling"
1-3W,3-stars or below,Technician Issues,"Good game, keeps crashing."
12-27W,4-stars or above,Positive,Fun
12-27W,4-stars or above,Numerical,Big easy wins
12-27W,4-stars or above,Positive,Summer
12-27W,4-stars or above,Positive,Fun game so far
12-27W,4-stars or above,Positive,One of the most funnest games I've ever played thank you
12-27W,4-stars or above,Positive,Love it
12-27W,4-stars or above,Positive,So far so good
12-27W,4-stars or above,Positive,"Perfect
"
12-27W,4-stars or above,Positive,Love it.
12-27W,4-stars or above,Positive,Love this game.... There are ads but that's how they make their money
12-27W,4-stars or above,Numerical,Is fun good pay outs
12-27W,4-stars or above,Positive,From now on
12-27W,4-stars or above,Positive,Ok
12-27W,4-stars or above,Positive,I haven't been playing very long. But so far I have really enjoyed the game. Its pretty awesome game
12-27W,4-stars or above,Positive,"Best slots game out
"
12-27W,4-stars or above,Graphic,"Good wins, fun games. Graphics are really good."
12-27W,4-stars or above,Positive,I'll give it four and a half Stars
